age,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,name,team
27,6,2,5,0,0,0,0,5,2,0,1,0,.083,12,.200,.083,.283,0,0,.---,.---,0,61,15,1,2,9,0,1,.125,0.40,0,-.--,Chad Stevens,Colorado Rockies
27,46,34,29,15,3,1,2,43,17,0,27,1,.203,133,.298,.286,.584,2,3,.600,.400,5,628,151,38,12,40,0,0,.284,1.17,0,66.50,Edouard Julien,Colorado Rockies
24,55,45,52,14,11,0,2,52,12,0,40,2,.214,187,.266,.305,.571,0,3,1.000,.000,2,754,203,57,16,101,0,2,.281,0.87,0,93.50,Ezequiel Tovar,Colorado Rockies
26,51,28,45,31,8,0,12,74,13,1,46,4,.238,193,.300,.466,.766,2,3,.600,.400,2,795,210,90,20,81,0,0,.318,0.62,0,16.08,Hunter Goodman,Colorado Rockies
28,46,35,39,14,7,3,2,26,8,0,35,1,.269,130,.312,.415,.727,2,9,.818,.182,1,501,144,54,19,40,3,2,.317,0.90,0,65.00,Jake McCarthy,Colorado Rockies
33,10,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,.---,.---,0,0,0,0,0,0,0,0,.---,-.--,0,-.--,Kyle Freeland,Colorado Rockies
23,53,41,40,19,7,0,2,44,24,0,32,0,.206,155,.309,.290,.599,0,2,1.000,.000,1,782,181,45,14,75,0,2,.270,1.03,0,77.50,Kyle Karros,Colorado Rockies
25,9,12,4,1,1,0,0,4,2,0,4,1,.167,24,.259,.208,.467,0,0,.---,.---,2,95,27,5,2,15,0,0,.200,3.00,0,-.--,Sterlin Thompson,Colorado Rockies
26,55,60,46,23,9,1,7,33,20,0,54,4,.281,192,.359,.448,.807,0,0,.---,.---,1,827,217,86,27,75,0,1,.307,1.30,0,27.43,TJ Rumfield,Colorado Rockies
29,52,41,37,21,14,0,2,39,15,0,53,2,.314,169,.376,.432,.808,2,2,.500,.500,2,679,187,73,23,62,1,0,.398,1.11,0,84.50,Troy Johnston,Colorado Rockies
27,36,44,34,10,3,0,2,17,4,0,30,8,.248,121,.316,.322,.638,1,4,.800,.200,8,486,137,39,14,51,4,0,.275,1.29,0,60.50,Tyler Freeman,Colorado Rockies
29,46,30,34,22,8,0,2,50,13,0,39,1,.257,152,.317,.349,.666,3,3,.500,.500,2,673,167,53,18,57,0,1,.366,0.88,0,76.00,Willi Castro,Colorado Rockies
24,52,29,44,21,8,1,0,35,9,0,45,1,.296,152,.337,.362,.699,0,1,1.000,.000,3,598,163,55,7,66,0,1,.381,0.66,0,-.--,Colt Keith,Detroit Tigers
27,51,47,47,22,11,0,10,44,19,0,42,4,.233,180,.320,.461,.781,0,0,.---,.---,7,819,205,83,32,89,0,0,.254,1.00,2,18.00,Dillon Dingler,Detroit Tigers
26,14,7,7,3,3,0,2,16,0,0,6,0,.167,36,.167,.417,.584,0,0,.---,.---,0,135,36,15,5,16,0,0,.222,1.00,0,18.00,Gage Workman,Detroit Tigers
23,28,12,25,4,3,1,1,21,4,0,14,0,.194,72,.237,.306,.543,0,0,.---,.---,1,268,76,22,8,28,0,0,.260,0.48,0,72.00,Hao-Yu  Lee,Detroit Tigers
28,37,14,17,6,2,0,2,24,6,0,11,0,.167,66,.236,.288,.524,2,0,.000,1.000,2,259,72,19,7,37,0,0,.225,0.82,0,33.00,Jahmai Jones,Detroit Tigers
31,19,4,22,4,2,1,0,17,4,0,7,1,.146,48,.218,.229,.447,0,1,1.000,.000,0,221,55,11,4,21,0,2,.212,0.18,0,-.--,Jake Rogers,Detroit Tigers
21,55,36,77,35,12,3,3,30,33,0,60,2,.296,203,.399,.429,.828,0,8,1.000,.000,1,965,238,87,21,64,0,0,.335,0.47,0,67.67,Kevin McGonigle,Detroit Tigers
29,47,36,50,13,9,0,4,27,14,0,30,0,.214,140,.280,.364,.644,1,2,.667,.333,3,630,157,51,21,67,0,3,.232,0.72,0,35.00,Matt Vierling,Detroit Tigers
25,57,32,42,30,15,0,4,65,30,0,62,2,.308,201,.403,.443,.846,1,1,.500,.500,3,981,233,89,25,95,0,0,.439,0.76,0,50.25,Riley Greene,Detroit Tigers
26,56,27,50,18,12,0,8,68,26,0,38,3,.209,182,.316,.407,.723,1,0,.000,1.000,4,915,212,74,21,88,0,1,.280,0.54,0,22.75,Spencer Torkelson,Detroit Tigers
26,41,37,46,16,3,0,4,20,10,0,21,0,.169,124,.231,.290,.521,1,3,.750,.250,0,475,134,36,10,61,0,0,.170,0.80,0,31.00,Wenceel Pérez,Detroit Tigers
31,35,32,35,2,3,0,1,20,9,1,17,0,.167,102,.230,.225,.455,2,1,.333,.667,2,442,113,23,9,45,0,2,.193,0.91,0,102.00,Zach McKinstry,Detroit Tigers
31,13,1,12,1,1,0,0,6,5,0,3,1,.136,22,.321,.182,.503,0,0,.---,.---,0,129,28,4,0,10,0,0,.188,0.08,0,-.--,Zack Short,Detroit Tigers
28,25,21,19,7,3,0,3,11,1,0,18,0,.273,66,.279,.455,.734,0,0,.---,.---,1,223,70,30,8,22,2,1,.283,1.11,0,22.00,Braden Shewmake,Houston Astros
24,47,32,32,14,4,1,4,47,11,0,29,0,.210,138,.267,.341,.608,3,2,.400,.600,2,634,151,47,14,53,1,1,.284,1.00,0,34.50,Brice Matthews,Houston Astros
23,56,45,43,24,7,0,5,58,21,0,38,4,.209,182,.301,.330,.631,1,7,.875,.125,5,864,210,60,18,88,0,2,.273,1.05,1,36.40,Cam Smith,Houston Astros
30,7,7,5,0,0,0,0,3,2,0,1,1,.063,16,.211,.063,.274,0,0,.---,.---,0,80,19,1,1,5,0,0,.077,1.40,0,-.--,César Salazar,Houston Astros
35,35,32,29,10,4,0,4,19,9,0,27,0,.257,105,.316,.410,.726,0,0,.---,.---,1,440,116,43,17,44,2,0,.280,1.10,0,26.25,Christian Vázquez,Houston Astros
35,57,55,56,33,10,0,15,45,21,2,53,3,.255,208,.330,.519,.849,0,0,.---,.---,7,876,233,108,40,104,0,1,.255,0.98,0,13.87,Christian Walker,Houston Astros
27,51,32,75,19,8,0,5,33,18,0,44,7,.239,184,.330,.364,.694,0,0,.---,.---,5,936,209,67,20,91,0,0,.267,0.43,0,36.80,Isaac Paredes,Houston Astros
30,20,18,17,7,2,0,2,15,5,0,12,1,.197,61,.265,.328,.593,2,1,.333,.667,0,238,68,20,5,28,0,1,.222,1.06,0,30.50,Jake Meyers,Houston Astros
28,19,18,29,11,4,0,1,13,4,0,19,3,.244,78,.302,.333,.635,0,2,1.000,.000,0,313,86,26,5,32,0,1,.277,0.62,0,78.00,Jeremy Peña,Houston Astros
27,28,13,8,10,1,0,1,9,3,0,13,1,.302,43,.362,.395,.757,0,1,1.000,.000,2,154,47,17,4,9,0,0,.364,1.63,0,43.00,Nick Allen,Houston Astros
28,12,5,7,5,2,1,0,11,4,0,13,0,.371,35,.436,.486,.922,0,1,1.000,.000,0,137,40,17,4,9,1,0,.542,0.71,0,-.--,Taylor Trammell,Houston Astros
29,56,35,65,36,11,0,20,41,36,8,63,4,.312,202,.422,.663,1.085,0,1,1.000,.000,2,929,244,134,39,79,0,2,.301,0.54,0,10.10,Yordan Alvarez,Houston Astros
26,17,8,8,5,4,0,1,16,4,0,9,0,.220,41,.289,.390,.679,0,0,.---,.---,1,187,45,16,2,14,0,0,.333,1.00,0,41.00,Zach Dezenzo,Houston Astros
26,56,43,72,27,14,1,9,44,23,2,64,0,.290,221,.354,.484,.838,3,16,.842,.158,6,916,246,107,25,78,0,2,.324,0.60,0,24.56,Bobby Witt Jr.,Kansas City Royals
22,52,22,53,20,8,0,6,54,20,1,36,1,.222,162,.306,.383,.689,0,0,.---,.---,2,776,186,62,23,60,0,3,.286,0.42,0,27.00,Carter Jensen,Kansas City Royals
28,49,28,45,18,6,0,3,48,23,0,32,4,.212,151,.328,.311,.639,3,3,.500,.500,2,710,180,47,16,75,0,2,.284,0.62,0,50.33,Isaac Collins,Kansas City Royals
23,51,38,34,18,9,1,5,55,14,0,39,2,.235,166,.302,.392,.694,1,1,.500,.500,1,685,182,65,11,78,0,0,.321,1.12,0,33.20,Jac Caglianone,Kansas City Royals
29,46,34,37,15,6,1,3,36,8,0,34,3,.250,136,.304,.375,.679,0,5,1.000,.000,2,549,152,51,11,57,4,1,.316,0.92,0,45.33,Kyle Isbel,Kansas City Royals
30,42,11,39,8,3,0,1,25,21,0,20,1,.215,93,.359,.280,.639,3,3,.500,.500,1,494,117,26,9,43,0,2,.275,0.28,0,93.00,Lane Thomas,Kansas City Royals
31,22,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,.---,.---,0,0,0,0,0,0,0,0,.---,-.--,0,-.--,Lucas Erceg,Kansas City Royals
26,54,59,69,27,15,1,3,34,19,0,57,0,.263,217,.319,.382,.701,3,4,.571,.429,5,900,238,83,20,79,0,2,.297,0.86,0,72.33,Maikel Garcia,Kansas City Royals
28,41,24,40,11,9,0,3,22,4,0,24,0,.226,106,.248,.396,.644,0,1,1.000,.000,2,428,114,42,13,61,1,3,.250,0.60,0,35.33,Michael Massey,Kansas City Royals
27,24,16,23,9,7,0,0,9,8,0,13,3,.220,59,.333,.339,.672,0,0,.---,.---,0,274,72,20,13,23,0,2,.250,0.70,0,-.--,Nick Loftin,Kansas City Royals
36,54,48,72,21,5,0,9,45,10,1,44,4,.214,206,.260,.369,.629,0,0,.---,.---,7,822,223,76,25,101,0,3,.226,0.67,0,22.89,Salvador Perez,Kansas City Royals
37,23,12,11,3,3,0,0,16,4,0,15,1,.283,53,.339,.340,.679,1,0,.000,1.000,1,226,59,18,2,25,0,1,.395,1.09,0,-.--,Starling Marte,Kansas City Royals
28,11,4,0,2,0,0,0,1,0,0,1,0,.167,6,.167,.167,.334,1,3,.750,.250,1,19,6,1,0,3,0,0,.200,4.00,0,-.--,Tyler Tolbert,Kansas City Royals
28,53,44,75,21,6,2,5,42,24,1,39,1,.199,196,.284,.327,.611,0,2,1.000,.000,3,874,225,64,23,92,0,4,.222,0.59,0,39.20,Vinnie Pasquantino,Kansas City Royals
31,25,16,13,11,4,0,0,8,10,0,15,1,.294,51,.413,.373,.786,1,0,.000,1.000,1,278,63,19,10,25,0,1,.341,1.23,0,-.--,Alex Call,Los Angeles Dodgers
24,34,33,16,11,4,0,2,32,11,0,23,0,.228,101,.301,.327,.628,0,0,.---,.---,3,453,115,33,8,47,2,1,.309,2.06,0,50.50,Alex Freeland,Los Angeles Dodgers
25,56,47,57,34,12,0,13,44,15,0,63,2,.303,208,.351,.548,.899,2,7,.778,.222,5,938,228,114,50,88,0,3,.325,0.82,0,16.00,Andy Pages,Los Angeles Dodgers
25,29,15,21,14,2,0,7,25,8,0,21,3,.256,82,.344,.537,.881,0,0,.---,.---,2,321,93,44,17,38,0,0,.280,0.71,0,11.71,Dalton Rushing,Los Angeles Dodgers
36,53,56,52,27,15,1,7,38,30,1,54,1,.271,199,.368,.462,.830,0,2,1.000,.000,8,929,231,92,26,88,0,1,.303,1.08,0,28.43,Freddie Freeman,Los Angeles Dodgers
27,43,33,24,16,3,1,1,31,12,0,30,0,.259,116,.323,.328,.651,1,5,.833,.167,2,515,131,38,11,52,0,2,.337,1.38,1,116.00,Hyeseong Kim,Los Angeles Dodgers
29,53,41,66,36,14,2,4,43,30,0,48,1,.245,196,.345,.398,.743,0,4,1.000,.000,0,885,229,78,26,95,0,2,.291,0.62,0,49.00,Kyle Tucker,Los Angeles Dodgers
35,50,35,40,36,6,0,12,50,26,1,42,1,.251,167,.356,.503,.859,0,0,.---,.---,2,790,194,84,19,84,0,0,.286,0.88,0,13.92,Max Muncy,Los Angeles Dodgers
37,34,31,24,8,4,0,1,10,5,0,22,2,.265,83,.315,.349,.664,1,0,.000,1.000,5,333,94,29,9,39,2,2,.284,1.29,0,83.00,Miguel Rojas,Los Angeles Dodgers
33,22,19,42,13,2,0,6,12,6,0,16,1,.182,88,.240,.409,.649,2,0,.000,1.000,4,357,96,36,15,54,0,1,.141,0.45,0,14.67,Mookie Betts,Los Angeles Dodgers
31,55,44,47,36,12,1,9,53,39,6,52,5,.269,193,.400,.482,.882,2,6,.750,.250,3,931,241,93,30,78,0,3,.321,0.94,1,21.44,Shohei Ohtani,Los Angeles Dodgers
33,51,37,41,30,8,0,7,55,19,1,50,2,.276,181,.348,.436,.784,0,2,1.000,.000,6,831,204,79,31,83,0,2,.355,0.90,0,25.86,Teoscar Hernández,Los Angeles Dodgers
31,46,21,69,20,4,0,5,28,19,0,39,2,.253,154,.337,.377,.714,0,0,.---,.---,3,757,178,58,22,65,0,3,.274,0.30,0,30.80,Will Smith,Los Angeles Dodgers
27,10,6,6,3,1,0,0,5,5,0,3,0,.150,20,.320,.200,.520,0,0,.---,.---,1,106,25,4,3,8,0,0,.200,1.00,0,-.--,Andrés Chaparro,Washington Nationals
26,16,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,.---,.---,0,0,0,0,0,0,0,0,.---,-.--,0,-.--,Brad Lord,Washington Nationals
25,56,42,58,34,12,2,12,47,25,2,60,8,.294,204,.388,.549,.937,4,8,.667,.333,3,929,240,112,47,84,0,3,.324,0.72,0,17.00,CJ Abrams,Washington Nationals
27,13,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,.---,.---,0,0,0,0,0,0,0,0,.---,-.--,0,-.--,Clayton Beeter,Washington Nationals
25,42,31,39,23,8,0,7,24,20,0,29,2,.236,123,.352,.472,.824,2,3,.600,.400,2,613,145,58,20,65,0,0,.239,0.79,0,17.57,Curtis Mead,Washington Nationals
23,56,50,74,35,15,1,7,46,19,1,58,1,.259,224,.315,.429,.744,3,4,.571,.429,2,860,248,96,27,106,0,4,.291,0.68,0,32.00,Daylen Lile,Washington Nationals
28,35,29,23,11,3,0,1,23,8,0,15,1,.170,88,.247,.239,.486,0,0,.---,.---,0,375,100,21,7,48,2,0,.219,1.26,1,88.00,Drew Millas,Washington Nationals
24,8,9,9,2,1,0,1,7,1,0,8,0,.242,33,.265,.364,.629,0,1,1.000,.000,0,118,34,12,1,10,0,0,.280,1.00,0,33.00,Dylan Crews,Washington Nationals
29,22,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,.---,.---,0,0,0,0,0,0,0,0,.---,-.--,0,-.--,Gus Varland,Washington Nationals
26,55,47,60,25,6,0,7,32,9,0,42,4,.233,180,.285,.383,.668,1,3,.750,.250,3,715,194,69,24,73,1,0,.248,0.78,0,25.71,Jacob Young,Washington Nationals
23,57,40,39,50,15,0,15,78,47,7,60,4,.276,217,.414,.553,.967,1,10,.909,.091,1,1132,268,120,37,72,0,0,.363,1.03,0,14.47,James Wood,Washington Nationals
25,42,33,30,15,6,0,1,17,10,0,24,4,.240,100,.328,.330,.658,1,0,.000,1.000,3,414,119,33,5,48,2,2,.274,1.10,1,100.00,Jorbit Vivas,Washington Nationals
25,42,26,19,16,7,1,3,36,7,0,23,1,.221,104,.277,.394,.671,0,0,.---,.---,5,459,112,41,13,59,0,0,.308,1.37,0,34.67,José Tena,Washington Nationals
27,34,28,36,13,12,0,4,17,2,0,28,1,.262,107,.277,.486,.763,1,1,.500,.500,5,387,112,52,24,56,0,2,.273,0.78,0,26.75,Keibert Ruiz,Washington Nationals
26,51,49,47,20,10,2,4,28,6,0,44,0,.263,167,.287,.419,.706,1,2,.667,.333,1,596,174,70,27,68,0,1,.294,1.04,0,41.75,Luis García Jr.,Washington Nationals
25,53,54,44,21,2,1,0,41,22,0,31,1,.189,164,.287,.213,.500,2,22,.917,.083,1,788,193,35,16,77,5,1,.250,1.23,0,-.--,Nasim Nuñez,Washington Nationals
28,13,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,.---,.---,0,0,0,0,0,0,0,0,.---,-.--,0,-.--,Orlando Ribalta,Washington Nationals
28,15,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,.---,.---,0,0,0,0,0,0,0,0,.---,-.--,0,-.--,Paxton Schultz,Washington Nationals
21,16,8,13,6,0,1,1,20,8,0,13,0,.250,52,.350,.346,.696,3,3,.500,.500,0,267,62,18,4,14,2,0,.387,0.62,0,52.00,A.J. Ewing,New York Mets
28,56,73,63,25,6,0,5,42,16,0,51,0,.225,227,.273,.317,.590,0,1,1.000,.000,7,894,245,72,27,88,0,2,.253,1.16,0,45.40,Bo Bichette,New York Mets
26,53,40,38,21,8,1,3,51,18,0,38,1,.230,165,.306,.345,.651,1,2,.667,.333,2,775,187,57,21,60,0,2,.310,1.05,1,55.00,Brett Baty,New York Mets
23,53,49,50,25,7,0,3,41,14,0,46,3,.247,186,.310,.333,.643,2,9,.818,.182,1,845,203,62,20,66,0,0,.303,0.98,0,62.00,Carson Benge,New York Mets
31,21,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,.---,.---,0,0,0,0,0,0,0,0,.---,-.--,0,-.--,Devin Williams,New York Mets
28,2,1,1,1,0,0,1,1,0,0,1,0,.250,4,.250,1.000,1.250,0,0,.---,.---,0,17,4,4,1,0,0,0,.000,1.00,0,4.00,Eric Wagaman,New York Mets
29,5,5,3,1,0,0,0,3,0,0,1,0,.100,10,.100,.100,.200,0,0,.---,.---,0,33,12,1,1,8,2,0,.143,1.67,0,-.--,Hayden Senger,New York Mets
30,13,10,2,3,2,0,0,4,3,0,8,0,.348,23,.407,.435,.842,0,0,.---,.---,0,108,27,10,2,9,0,1,.400,5.00,0,-.--,Jared Young,New York Mets
27,39,35,41,24,4,1,12,25,22,5,43,0,.301,143,.392,.594,.986,2,5,.714,.286,1,631,167,85,24,49,0,1,.290,0.85,1,11.92,Juan Soto,New York Mets
30,33,32,18,8,7,0,0,20,5,0,18,2,.207,87,.266,.287,.553,0,0,.---,.---,0,360,95,25,11,37,1,0,.269,1.78,0,-.--,Luis Torrens,New York Mets
32,22,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,.---,.---,0,0,0,0,0,0,0,0,.---,-.--,0,-.--,Luke Weaver,New York Mets
27,34,8,21,8,3,1,2,31,9,0,15,4,.203,74,.322,.351,.673,1,0,.000,1.000,0,362,88,26,6,34,1,0,.317,0.38,0,37.00,MJ Melendez,New York Mets
35,56,44,75,19,7,0,4,44,14,0,43,1,.213,202,.264,.307,.571,1,5,.833,.167,6,790,221,62,19,84,1,3,.248,0.59,0,50.50,Marcus Semien,New York Mets
26,48,46,49,16,8,0,6,38,7,0,38,2,.224,170,.261,.376,.637,0,0,.---,.---,7,638,180,64,23,83,0,1,.252,0.94,0,28.33,Mark Vientos,New York Mets
28,4,0,3,3,0,0,0,0,1,0,1,0,.250,4,.400,.250,.650,0,0,.---,.---,0,15,5,1,1,3,0,0,.250,0.00,0,-.--,Vidal Bruján,New York Mets
