age,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,name,team
26,32,24,34,16,7,0,3,25,10,0,27,1,.252,107,.314,.402,.716,1,3,.750,.250,1,514,121,43,17,46,0,3,.293,0.71,0,35.67,Gabriel Moreno,Arizona Diamondbacks
26,52,63,55,23,8,3,2,29,32,0,40,1,.223,179,.336,.335,.671,3,8,.727,.273,6,890,220,60,20,80,3,5,.248,1.15,0,89.50,Geraldo Perdomo,Arizona Diamondbacks
34,48,59,53,30,9,2,7,21,7,1,57,1,.303,188,.330,.484,.814,0,1,1.000,.000,3,666,199,91,35,76,1,1,.311,1.11,1,26.86,Ildemaro Vargas,Arizona Diamondbacks
31,22,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,.---,.---,0,0,0,0,0,0,0,0,.---,-.--,0,-.--,Jonathan Loáisiga,Arizona Diamondbacks
25,41,24,18,10,9,1,1,30,8,0,15,1,.176,85,.255,.341,.596,0,0,.---,.---,1,421,96,29,7,29,2,0,.259,1.33,0,85.00,Jorge Barrosa,Arizona Diamondbacks
22,48,37,37,23,5,0,3,36,6,0,37,1,.257,144,.291,.354,.645,2,6,.750,.250,2,606,154,51,14,47,3,0,.324,1.00,0,48.00,Jose Fernandez,Arizona Diamondbacks
32,52,64,55,34,11,2,9,34,16,0,58,0,.276,210,.326,.476,.802,0,0,.---,.---,4,818,227,100,32,68,0,1,.292,1.16,0,23.33,Ketel Marte,Arizona Diamondbacks
35,51,39,52,27,11,0,7,35,18,1,46,4,.271,170,.351,.459,.810,0,1,1.000,.000,5,776,194,78,27,75,0,2,.300,0.75,0,24.29,Nolan Arenado,Arizona Diamondbacks
23,19,8,15,10,5,1,0,21,6,0,19,0,.302,63,.362,.413,.775,1,5,.833,.167,0,277,70,26,7,24,0,0,.452,0.53,1,-.--,Ryan Waldschmidt,Arizona Diamondbacks
27,27,19,15,6,2,0,1,15,8,0,10,0,.175,57,.273,.263,.536,2,0,.000,1.000,1,288,67,15,8,21,1,1,.214,1.27,0,57.00,Tim Tawa,Arizona Diamondbacks
24,4,3,3,5,2,0,0,1,2,0,5,0,.417,12,.500,.583,1.083,0,0,.---,.---,0,58,14,7,0,3,0,0,.455,1.00,0,-.--,Tommy Troy,Arizona Diamondbacks
28,38,33,48,19,12,0,7,24,15,0,38,1,.268,142,.340,.500,.840,0,0,.---,.---,3,658,159,71,26,72,0,1,.277,0.69,0,20.29,Adley Rutschman,Baltimore Orioles
27,47,35,21,14,5,1,1,34,8,1,30,1,.254,118,.307,.339,.646,2,6,.750,.250,5,480,130,40,14,52,2,0,.349,1.67,1,118.00,Blaze Alexander,Baltimore Orioles
24,44,26,38,16,5,0,5,44,13,0,26,1,.195,133,.270,.346,.616,0,1,1.000,.000,2,598,148,46,18,64,0,1,.247,0.68,0,26.60,Coby Mayo,Baltimore Orioles
26,46,23,20,14,2,0,3,38,13,0,21,0,.210,100,.298,.320,.618,1,1,.500,.500,1,497,115,32,14,52,1,1,.300,1.15,0,33.33,Colton Cowser,Baltimore Orioles
25,55,55,58,30,10,1,13,70,15,0,52,2,.222,234,.274,.440,.714,3,6,.667,.333,2,978,252,103,29,83,0,1,.257,0.95,0,18.00,Gunnar Henderson,Baltimore Orioles
22,8,2,8,4,0,0,1,6,3,0,4,0,.211,19,.304,.368,.672,0,2,1.000,.000,0,97,23,7,4,8,0,1,.231,0.25,0,19.00,Jackson Holliday,Baltimore Orioles
26,50,53,38,15,7,0,6,35,3,0,41,1,.248,165,.263,.400,.663,1,1,.500,.500,9,571,171,66,26,81,0,2,.278,1.39,0,27.50,Jeremiah Jackson,Baltimore Orioles
27,46,25,41,21,8,1,2,33,20,0,37,1,.278,133,.377,.398,.775,1,6,.857,.143,0,603,157,53,21,46,3,0,.357,0.61,0,66.50,Leody Taveras,Baltimore Orioles
31,56,51,59,31,12,0,10,55,26,1,49,1,.231,212,.315,.429,.744,0,2,1.000,.000,6,977,241,91,33,107,0,2,.262,0.86,0,21.20,Pete Alonso,Baltimore Orioles
21,44,33,34,21,7,1,8,44,13,1,40,0,.267,150,.323,.487,.810,0,0,.---,.---,1,589,164,73,22,59,0,1,.323,0.97,0,18.75,Samuel Basallo,Baltimore Orioles
32,55,45,55,33,15,0,2,52,48,1,50,1,.250,200,.394,.355,.749,2,1,.333,.667,2,1107,251,71,16,62,0,2,.324,0.82,0,100.00,Taylor Ward,Baltimore Orioles
31,34,18,34,13,1,0,2,26,12,0,15,2,.161,93,.271,.237,.508,0,0,.---,.---,1,413,107,22,8,43,0,0,.200,0.53,0,46.50,Tyler O'Neill,Baltimore Orioles
31,20,7,11,6,1,0,1,11,6,0,9,1,.237,38,.356,.342,.698,1,2,.667,.333,0,189,45,13,3,17,0,0,.308,0.64,0,38.00,Weston Wilson,Baltimore Orioles
29,29,20,26,9,8,0,1,18,6,0,21,0,.247,85,.297,.376,.673,3,1,.250,.750,2,384,91,32,10,43,0,0,.303,0.77,0,85.00,Andruw Monasterio,Boston Red Sox
38,18,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,.---,.---,0,0,0,0,0,0,0,0,.---,-.--,0,-.--,Aroldis Chapman,Boston Red Sox
26,48,62,38,14,8,0,1,25,11,0,24,4,.163,147,.241,.238,.479,2,4,.667,.333,5,597,164,35,16,71,2,0,.190,1.63,0,147.00,Caleb Durbin,Boston Red Sox
27,35,23,24,13,5,0,2,33,10,0,22,2,.218,101,.301,.327,.628,0,1,1.000,.000,4,470,114,33,3,51,1,0,.303,0.96,0,50.50,Carlos Narváez,Boston Red Sox
25,52,45,42,23,9,2,5,41,12,0,51,6,.285,179,.350,.441,.791,4,4,.500,.500,6,745,197,79,23,79,0,0,.346,1.07,0,35.80,Ceddanne Rafaela,Boston Red Sox
30,22,16,14,5,6,0,0,16,5,0,14,2,.241,58,.323,.345,.668,0,1,1.000,.000,1,243,67,20,7,25,2,0,.333,1.14,0,-.--,Connor Wong,Boston Red Sox
30,20,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,.---,.---,0,0,0,0,0,0,0,0,.---,-.--,0,-.--,Garrett Whitlock,Boston Red Sox
31,29,17,16,8,2,0,1,10,6,0,16,0,.276,58,.344,.362,.706,1,4,.800,.200,1,207,65,21,10,30,1,0,.319,1.06,0,58.00,Isiah Kiner-Falefa,Boston Red Sox
29,49,49,49,26,9,1,8,58,16,0,42,3,.213,197,.281,.391,.672,0,10,1.000,.000,2,811,217,77,27,63,0,1,.258,1.00,0,24.62,Jarren Duran,Boston Red Sox
23,49,47,38,12,6,0,2,31,11,0,32,2,.219,146,.280,.301,.581,0,3,1.000,.000,4,567,162,44,12,72,0,2,.261,1.24,1,73.00,Marcelo Mayer,Boston Red Sox
32,38,38,29,11,6,1,1,10,13,0,26,2,.255,102,.347,.363,.710,0,1,1.000,.000,1,414,118,37,7,48,0,1,.272,1.31,0,102.00,Masataka Yoshida,Boston Red Sox
30,15,8,12,7,2,0,0,10,2,0,14,1,.326,43,.370,.372,.742,1,0,.000,1.000,1,181,47,16,2,17,1,0,.424,0.67,0,-.--,Mickey Gasper,Boston Red Sox
28,9,11,6,3,2,1,0,5,5,0,9,0,.300,30,.400,.433,.833,0,0,.---,.---,1,135,36,13,2,12,1,0,.360,1.83,0,-.--,Nick Sogard,Boston Red Sox
34,52,40,41,25,6,2,11,56,21,0,53,8,.283,187,.374,.513,.887,0,1,1.000,.000,6,873,219,96,33,76,0,3,.341,0.98,0,17.00,Willson Contreras,Boston Red Sox
27,53,38,67,24,10,1,6,44,21,1,59,0,.285,207,.349,.430,.779,1,4,.800,.200,6,898,229,89,22,102,0,1,.335,0.57,0,34.50,Wilyer Abreu,Boston Red Sox
32,55,51,71,24,8,1,4,43,25,2,58,3,.261,222,.343,.360,.703,1,2,.667,.333,7,991,251,80,16,114,0,1,.307,0.72,0,55.50,Alex Bregman,Chicago Cubs
39,14,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,.---,.---,0,0,0,0,0,0,0,0,.---,-.--,0,-.--,Caleb Thielbar,Chicago Cubs
31,42,32,34,18,6,0,2,27,15,0,41,3,.306,134,.388,.396,.784,0,0,.---,.---,3,574,152,53,17,70,0,0,.371,0.94,0,67.00,Carson Kelly,Chicago Cubs
26,12,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,.---,.---,0,0,0,0,0,0,0,0,.---,-.--,0,-.--,Daniel Palencia,Chicago Cubs
32,53,51,52,32,5,1,7,46,26,0,34,1,.190,179,.292,.346,.638,0,4,1.000,.000,2,835,210,62,27,95,1,3,.209,0.98,0,25.57,Dansby Swanson,Chicago Cubs
31,52,34,44,36,8,1,11,75,37,3,42,2,.215,195,.346,.436,.782,0,2,1.000,.000,5,956,234,85,26,118,0,0,.284,0.77,0,17.73,Ian Happ,Chicago Cubs
23,4,0,0,0,0,0,0,2,1,0,0,0,.000,2,.333,.000,.333,0,0,.---,.---,0,17,3,0,0,2,0,0,.---,-.--,0,-.--,Kevin Alcántara,Chicago Cubs
28,55,45,56,23,11,1,6,53,38,1,46,5,.232,198,.366,.389,.755,0,1,1.000,.000,2,970,243,77,31,104,0,2,.284,0.80,0,33.00,Michael Busch,Chicago Cubs
33,34,13,18,12,8,0,4,22,13,0,20,0,.278,72,.384,.556,.940,0,0,.---,.---,1,352,86,40,13,32,0,1,.340,0.72,0,18.00,Michael Conforto,Chicago Cubs
27,32,18,22,14,2,0,3,20,11,0,18,3,.234,77,.352,.377,.729,0,0,.---,.---,4,385,92,29,9,38,1,0,.278,0.82,0,25.67,Miguel Amaya,Chicago Cubs
22,46,30,38,15,5,0,6,28,15,0,29,0,.236,123,.314,.423,.737,0,0,.---,.---,0,528,140,52,20,50,0,2,.253,0.79,0,20.50,Moisés Ballesteros,Chicago Cubs
29,55,62,84,24,13,0,4,20,26,0,56,4,.256,219,.341,.370,.711,1,10,.909,.091,4,914,252,81,32,93,0,3,.263,0.74,0,54.75,Nico Hoerner,Chicago Cubs
22,4,5,0,1,1,0,0,0,1,0,2,0,.286,7,.375,.429,.804,0,0,.---,.---,1,21,8,3,1,2,0,0,.286,5.00,0,-.--,Pedro Ramírez,Chicago Cubs
24,56,40,59,29,6,2,6,59,21,1,45,6,.224,201,.314,.363,.677,4,12,.750,.250,2,864,230,73,24,94,1,1,.285,0.68,0,33.50,Pete Crow-Armstrong,Chicago Cubs
28,14,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,.---,.---,0,0,0,0,0,0,0,0,.---,-.--,0,-.--,Ryan Rolison,Chicago Cubs
31,42,32,41,23,4,0,7,46,20,3,36,3,.234,154,.331,.396,.727,0,0,.---,.---,4,735,178,61,17,112,0,1,.284,0.78,0,22.00,Seiya Suzuki,Chicago Cubs
27,16,12,10,10,2,1,1,12,4,0,17,1,.333,51,.393,.471,.864,1,2,.667,.333,1,196,56,24,2,25,0,0,.421,1.20,0,51.00,Blake Dunn,Cincinnati Reds
30,46,10,26,16,3,0,3,25,12,0,20,2,.250,80,.358,.400,.758,0,2,1.000,.000,3,379,95,32,12,40,0,1,.321,0.38,0,26.67,Dane Myers,Cincinnati Reds
24,55,48,41,38,13,1,12,72,21,0,62,2,.279,222,.346,.509,.855,5,9,.643,.357,2,987,246,113,37,87,0,1,.360,1.17,0,18.50,Elly De La Cruz,Cincinnati Reds
34,30,19,27,12,5,0,3,34,13,0,25,0,.238,105,.322,.371,.693,0,0,.---,.---,1,479,118,39,13,56,0,0,.324,0.70,0,35.00,Eugenio Suárez,Cincinnati Reds
28,27,17,34,16,6,1,7,21,17,1,27,0,.276,98,.379,.571,.950,1,1,.500,.500,0,465,116,56,21,37,0,1,.282,0.50,0,14.00,JJ Bleday,Cincinnati Reds
26,54,43,60,21,9,0,5,51,24,0,38,2,.199,191,.295,.325,.620,2,7,.778,.222,3,854,218,62,20,91,1,0,.244,0.72,0,38.20,Matt McLain,Cincinnati Reds
30,40,28,25,15,9,0,8,32,15,0,32,0,.274,117,.356,.556,.912,0,0,.---,.---,0,555,132,65,24,51,0,0,.312,1.12,0,14.62,Nathaniel Lowe,Cincinnati Reds
33,9,4,4,1,0,0,0,7,2,0,5,0,.294,17,.350,.294,.644,0,0,.---,.---,0,90,22,5,3,6,2,1,.455,1.00,0,-.--,P.J. Higgins,Cincinnati Reds
22,55,55,53,34,9,0,12,48,31,3,53,1,.256,207,.353,.473,.826,1,10,.909,.091,4,941,241,98,36,96,0,2,.275,1.04,0,17.25,Sal Stewart,Cincinnati Reds
28,53,38,59,31,10,0,7,43,18,0,50,3,.265,189,.336,.429,.765,0,3,1.000,.000,5,821,211,81,21,91,0,1,.307,0.64,0,27.00,Spencer Steer,Cincinnati Reds
30,44,44,44,14,6,0,2,40,13,0,27,4,.180,150,.262,.260,.522,0,5,1.000,.000,1,639,172,39,8,51,4,1,.229,1.00,0,75.00,TJ Friedl,Cincinnati Reds
29,44,22,45,11,6,0,4,43,21,0,26,0,.194,134,.299,.328,.627,1,0,.000,1.000,3,616,157,44,17,72,0,2,.247,0.49,0,33.50,Tyler Stephenson,Cincinnati Reds
28,41,11,24,10,2,1,2,29,15,1,14,1,.179,78,.319,.308,.627,1,1,.500,.500,0,397,95,24,5,44,0,0,.255,0.46,1,39.00,Will Benson,Cincinnati Reds
24,53,50,52,24,9,1,9,38,6,0,44,4,.246,179,.284,.458,.742,2,8,.800,.200,3,733,194,82,28,73,4,1,.263,0.96,0,19.89,Angel Martínez,Cleveland Guardians
33,27,27,16,12,4,0,1,15,8,0,16,0,.225,71,.300,.324,.624,1,1,.500,.500,2,319,82,23,4,46,2,1,.268,1.69,0,71.00,Austin Hedges,Cleveland Guardians
25,55,49,56,25,8,1,4,23,19,0,53,5,.298,178,.379,.421,.800,4,9,.692,.308,3,811,205,75,27,60,2,1,.322,0.88,0,44.50,Brayan Rocchio,Cleveland Guardians
24,53,54,66,21,11,1,7,24,25,0,50,0,.260,192,.342,.438,.780,1,2,.667,.333,6,835,219,84,31,87,0,2,.264,0.82,0,27.43,Chase DeLauter,Cleveland Guardians
29,46,32,32,19,9,0,4,47,18,0,35,0,.240,146,.323,.384,.707,2,3,.600,.400,1,652,164,56,19,64,0,0,.326,1.00,0,36.50,Daniel Schneemann,Cleveland Guardians
30,35,16,16,11,2,0,3,26,13,1,18,0,.237,76,.348,.382,.730,0,0,.---,.---,3,396,89,29,8,43,0,0,.319,1.00,0,25.33,David Fry,Cleveland Guardians
33,58,48,85,30,12,0,8,34,38,5,48,1,.226,212,.343,.396,.739,2,20,.909,.091,1,1048,254,84,27,90,0,3,.231,0.56,0,26.50,José Ramírez,Cleveland Guardians
25,49,31,29,19,4,1,5,57,17,0,33,2,.221,149,.308,.362,.670,0,0,.---,.---,4,720,169,54,17,74,0,1,.318,1.07,0,29.80,Kyle Manzardo,Cleveland Guardians
27,39,30,34,6,1,0,2,28,9,0,15,0,.140,107,.207,.206,.413,0,2,1.000,.000,5,474,116,22,8,41,0,0,.169,0.88,0,53.50,Patrick Bailey,Cleveland Guardians
24,16,5,11,3,0,0,0,6,1,0,3,0,.120,25,.154,.120,.274,0,2,1.000,.000,0,110,26,3,1,14,0,0,.158,0.45,0,-.--,Petey Halpin,Cleveland Guardians
33,45,22,36,20,9,0,5,45,28,0,23,1,.189,122,.335,.385,.720,0,0,.---,.---,3,683,155,47,20,57,0,4,.237,0.61,0,24.40,Rhys Hoskins,Cleveland Guardians
28,54,60,73,25,7,0,1,25,34,1,40,2,.207,193,.329,.259,.588,1,2,.667,.333,5,923,234,50,12,73,3,2,.231,0.82,0,193.00,Steven Kwan,Cleveland Guardians
23,27,23,25,12,6,0,3,19,15,1,29,2,.302,96,.407,.458,.865,2,7,.778,.222,0,437,113,44,11,27,0,0,.351,0.92,0,32.00,Travis Bazzana,Cleveland Guardians
27,12,2,6,5,0,0,1,6,2,0,3,0,.176,17,.263,.353,.616,0,2,1.000,.000,0,67,19,6,2,5,0,0,.200,0.33,0,17.00,Braxton Fulford,Colorado Rockies
32,28,24,22,4,6,0,1,18,4,0,15,1,.195,77,.241,.312,.553,0,0,.---,.---,2,301,84,24,9,41,1,1,.237,1.09,0,77.00,Brett Sullivan,Colorado Rockies
