player_name,team,player_type,games,atBats,hits,doubles,triples,homeRuns,rbi,runs,walks,strikeouts,stolenBases,hbp,ops,total_bases,sorare_score,sorare_avg_per_game
Rob Refsnyder,Seattle Mariners,HITTER,35,74,9,0,0,3,8,7,6,26,0,2,0.443,18,77,2.2
Victor Robles,Seattle Mariners,HITTER,9,24,7,2,0,0,1,1,0,6,1,0,0.667,9,25,2.78
Bryce Eldridge,San Francisco Giants,HITTER,15,47,8,2,0,1,2,2,6,14,0,0,0.541,13,40,2.67
Casey Schmitt,San Francisco Giants,HITTER,48,182,53,10,1,12,31,26,7,38,4,5,0.887,101,415,8.65
Daniel Susac,San Francisco Giants,HITTER,19,52,16,3,1,0,9,2,4,13,0,0,0.761,21,75,3.95
Drew Gilbert,San Francisco Giants,HITTER,37,105,24,4,1,2,9,10,6,22,0,1,0.62,36,131,3.54
Eric Haase,San Francisco Giants,HITTER,11,29,8,2,0,3,5,6,1,7,0,0,0.955,19,74,6.73
Harrison Bader,San Francisco Giants,HITTER,29,102,17,5,0,5,13,10,4,32,0,0,0.559,37,134,4.62
Jesus Rodriguez,San Francisco Giants,HITTER,13,38,8,0,0,1,5,2,3,5,1,1,0.575,11,53,4.08
Luis Arraez,San Francisco Giants,HITTER,53,206,67,10,3,2,20,26,13,9,5,2,0.798,89,382,7.21
Matt Chapman,San Francisco Giants,HITTER,55,205,47,13,1,1,16,24,23,53,0,2,0.63,65,264,4.8
Rafael Devers,San Francisco Giants,HITTER,56,215,52,15,0,7,28,21,13,69,0,1,0.695,88,311,5.55
Victor Bericoto,San Francisco Giants,HITTER,4,5,1,0,0,0,0,0,0,2,0,0,0.4,1,0,0.0
Will Brennan,San Francisco Giants,HITTER,11,23,2,0,0,0,0,0,0,3,0,0,0.174,2,1,0.09
Willy Adames,San Francisco Giants,HITTER,55,222,54,17,1,7,18,27,11,66,1,1,0.705,94,319,5.8
Alec Burleson,St. Louis Cardinals,HITTER,53,206,58,13,0,7,35,25,21,37,2,2,0.798,92,410,7.74
Bryan Torres,St. Louis Cardinals,HITTER,5,19,6,0,1,1,3,1,2,3,0,0,0.96,11,39,7.8
César Prieto,St. Louis Cardinals,HITTER,6,17,0,0,0,0,0,0,0,2,0,0,0.0,0,-2,-0.33
George Soriano,St. Louis Cardinals,HITTER,23,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Iván Herrera,St. Louis Cardinals,HITTER,54,201,53,12,1,6,26,31,33,43,2,10,0.813,85,420,7.78
JJ Wetherholt,St. Louis Cardinals,HITTER,53,205,48,6,0,9,25,36,28,44,6,10,0.746,81,431,8.13
Jordan Walker,St. Louis Cardinals,HITTER,53,203,61,11,0,15,42,38,20,56,7,2,0.943,117,538,10.15
José Fermín,St. Louis Cardinals,HITTER,28,61,13,3,0,2,8,4,7,12,0,0,0.651,22,89,3.18
Masyn Winn,St. Louis Cardinals,HITTER,48,178,41,8,2,1,18,20,17,42,5,5,0.624,56,267,5.56
Nolan Gorman,St. Louis Cardinals,HITTER,52,175,38,4,0,6,25,17,22,58,0,0,0.643,60,248,4.77
Pedro Pagés,St. Louis Cardinals,HITTER,35,114,25,4,0,4,9,11,5,30,2,2,0.622,41,148,4.23
Thomas Saggese,St. Louis Cardinals,HITTER,28,69,11,2,0,0,2,8,5,24,0,0,0.404,13,44,1.57
Victor Scott II,St. Louis Cardinals,HITTER,52,134,26,3,0,2,7,18,11,39,7,1,0.52,35,172,3.31
Yohel Pozo,St. Louis Cardinals,HITTER,18,33,8,1,0,0,5,0,0,3,0,0,0.515,9,31,1.72
Carson Williams,Tampa Bay Rays,HITTER,12,30,3,1,0,0,3,6,2,11,0,0,0.289,4,29,2.42
Cedric Mullins,Tampa Bay Rays,HITTER,47,163,31,3,1,3,15,17,12,32,10,3,0.533,45,245,5.21
Chandler Simpson,Tampa Bay Rays,HITTER,52,207,61,4,4,0,12,28,11,23,14,0,0.68,73,347,6.67
Hunter Feduccia,Tampa Bay Rays,HITTER,31,64,18,2,0,1,6,8,7,23,0,1,0.715,23,85,2.74
Jonathan Aranda,Tampa Bay Rays,HITTER,53,189,54,9,0,9,41,30,31,54,0,3,0.86,90,434,8.19
Junior Caminero,Tampa Bay Rays,HITTER,53,202,53,5,0,13,27,32,29,37,0,0,0.833,97,423,7.98
Nick Fortes,Tampa Bay Rays,HITTER,43,126,33,6,0,1,10,10,4,19,0,3,0.632,42,147,3.42
Oliver Dunn,Tampa Bay Rays,HITTER,5,7,0,0,0,0,0,3,1,2,0,0,0.125,0,9,1.8
Richie Palacios,Tampa Bay Rays,HITTER,39,100,26,3,0,1,15,14,14,25,7,3,0.684,32,200,5.13
Ryan Vilade,Tampa Bay Rays,HITTER,31,69,21,3,1,2,16,8,10,13,2,0,0.847,32,162,5.23
Taylor Walls,Tampa Bay Rays,HITTER,40,124,25,6,2,0,14,19,17,36,6,1,0.585,35,209,5.23
Victor Mesa Jr.,Tampa Bay Rays,HITTER,3,10,3,0,0,1,2,2,1,2,0,0,0.964,6,26,8.67
Yandy Díaz,Tampa Bay Rays,HITTER,50,190,59,9,1,8,33,27,19,27,1,7,0.887,94,425,8.5
Alejandro Osuna,Texas Rangers,HITTER,30,71,19,2,0,0,7,9,11,13,1,5,0.698,21,116,3.87
Brandon Nimmo,Texas Rangers,HITTER,53,206,55,10,2,6,19,23,22,46,1,4,0.77,87,337,6.36
Danny Jansen,Texas Rangers,HITTER,37,114,20,5,1,3,10,9,11,37,0,4,0.587,36,135,3.65
Evan Carter,Texas Rangers,HITTER,54,160,28,5,2,6,18,21,26,43,9,1,0.637,55,304,5.63
Ezequiel Duran,Texas Rangers,HITTER,47,147,41,12,1,4,26,22,13,39,4,0,0.789,67,307,6.53
Jacob Latz,Texas Rangers,HITTER,20,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Jake Burger,Texas Rangers,HITTER,53,200,47,8,0,10,36,25,13,58,1,1,0.709,85,356,6.72
Joc Pederson,Texas Rangers,HITTER,51,128,32,5,0,6,16,20,23,34,0,1,0.791,55,249,4.88
Josh Jung,Texas Rangers,HITTER,50,189,57,14,0,5,21,23,15,30,1,2,0.812,86,337,6.74
Justin Foscue,Texas Rangers,HITTER,18,53,14,3,0,2,7,5,3,16,0,1,0.744,23,81,4.5
Kyle Higashioka,Texas Rangers,HITTER,27,83,17,1,0,3,9,9,7,26,0,1,0.6,27,105,3.89
Michael Helman,Texas Rangers,HITTER,6,14,2,1,0,0,0,0,1,3,0,0,0.414,3,6,1.0
Nicky Lopez,Texas Rangers,HITTER,5,8,0,0,0,0,0,1,0,2,0,0,0.0,0,1,0.2
Sam Haggerty,Texas Rangers,HITTER,33,41,6,1,0,0,1,3,2,16,1,1,0.376,7,22,0.67
Andrés Giménez,Toronto Blue Jays,HITTER,53,180,40,7,1,5,27,13,6,34,6,4,0.616,64,283,5.34
Brandon Valenzuela,Toronto Blue Jays,HITTER,35,92,23,2,0,4,10,13,12,25,1,0,0.739,37,157,4.49
Daulton Varsho,Toronto Blue Jays,HITTER,53,189,50,11,1,5,16,25,19,42,4,2,0.751,78,322,6.08
Ernie Clement,Toronto Blue Jays,HITTER,55,211,62,17,0,5,20,22,8,18,2,0,0.763,94,349,6.35
George Springer,Toronto Blue Jays,HITTER,37,142,30,7,0,5,14,14,14,31,3,2,0.657,52,221,5.97
Jesús Sánchez,Toronto Blue Jays,HITTER,54,160,45,10,0,6,27,18,7,37,1,4,0.776,73,293,5.43
Kazuma Okamoto,Toronto Blue Jays,HITTER,54,197,43,6,0,11,29,26,22,71,0,2,0.718,82,334,6.19
Lenyn Sosa,Toronto Blue Jays,HITTER,40,113,22,7,0,1,9,11,1,25,0,1,0.49,32,112,2.8
Myles Straw,Toronto Blue Jays,HITTER,47,83,20,3,0,2,6,18,9,15,2,0,0.661,29,150,3.19
Nathan Lukes,Toronto Blue Jays,HITTER,22,60,17,5,0,0,9,5,1,10,0,3,0.69,22,89,4.05
Tyler Heineman,Toronto Blue Jays,HITTER,29,68,10,0,0,1,4,6,2,17,0,2,0.385,13,49,1.69
Vladimir Guerrero Jr.,Toronto Blue Jays,HITTER,54,191,56,7,0,3,22,32,29,24,5,4,0.769,72,386,7.15
Yohendrick Piñango,Toronto Blue Jays,HITTER,26,79,23,4,0,2,12,6,4,17,0,0,0.743,33,119,4.58
Alex Jackson,Minnesota Twins,HITTER,3,10,2,1,0,0,0,0,0,6,0,0,0.5,3,1,0.33
Austin Martin,Minnesota Twins,HITTER,50,148,42,9,0,2,16,19,23,26,7,3,0.774,57,293,5.86
Brooks Lee,Minnesota Twins,HITTER,52,188,48,9,1,6,30,23,13,37,3,2,0.72,77,344,6.62
Byron Buxton,Minnesota Twins,HITTER,47,197,51,10,1,17,27,38,15,55,4,3,0.898,114,470,10.0
James Outman,Minnesota Twins,HITTER,43,61,10,4,1,0,3,9,5,26,4,1,0.501,16,80,1.86
Josh Bell,Minnesota Twins,HITTER,53,193,41,8,0,5,29,24,17,48,1,1,0.609,64,298,5.62
Kody Clemens,Minnesota Twins,HITTER,44,146,34,10,1,5,15,18,13,38,5,5,0.735,61,266,6.05
Luke Keaschall,Minnesota Twins,HITTER,52,187,44,9,1,1,18,23,19,32,10,4,0.626,58,316,6.08
Orlando Arcia,Minnesota Twins,HITTER,6,16,8,1,0,0,1,1,0,3,0,0,1.063,9,22,3.67
