player_name,team,player_type,games,atBats,hits,doubles,triples,homeRuns,rbi,runs,walks,strikeouts,stolenBases,hbp,ops,total_bases,sorare_score,sorare_avg_per_game
Vaughn Grissom,Los Angeles Angels,HITTER,34,107,24,6,0,3,19,8,12,12,0,1,0.667,39,185,5.44
Wade Meckler,Los Angeles Angels,HITTER,6,15,6,0,0,1,3,1,1,2,1,0,1.038,9,37,6.17
Zach Neto,Los Angeles Angels,HITTER,57,220,50,12,1,10,25,38,31,79,7,5,0.762,94,439,7.7
Adrian Del Castillo,Arizona Diamondbacks,HITTER,36,114,22,4,0,4,20,8,9,38,0,0,0.583,38,152,4.22
Aramis Garcia,Arizona Diamondbacks,HITTER,5,11,2,0,0,0,1,1,0,3,0,0,0.364,2,7,1.4
Corbin Carroll,Arizona Diamondbacks,HITTER,52,188,55,12,8,7,28,35,30,50,7,2,0.945,104,488,9.38
Gabriel Moreno,Arizona Diamondbacks,HITTER,32,107,27,7,0,3,17,16,10,25,3,1,0.716,43,210,6.56
Geraldo Perdomo,Arizona Diamondbacks,HITTER,52,179,40,8,3,2,20,23,32,29,8,1,0.671,60,344,6.62
Ildemaro Vargas,Arizona Diamondbacks,HITTER,48,188,57,9,2,7,35,30,7,21,1,1,0.814,91,404,8.42
Jonathan Loáisiga,Arizona Diamondbacks,HITTER,22,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Jorge Barrosa,Arizona Diamondbacks,HITTER,41,85,15,9,1,1,7,10,8,30,0,1,0.596,29,110,2.68
Jose Fernandez,Arizona Diamondbacks,HITTER,48,144,37,5,0,3,14,23,6,36,6,1,0.645,51,232,4.83
Ketel Marte,Arizona Diamondbacks,HITTER,52,210,58,11,2,9,32,34,16,34,0,0,0.802,100,429,8.25
Nolan Arenado,Arizona Diamondbacks,HITTER,51,170,46,11,0,7,27,27,18,35,1,4,0.81,78,357,7.0
Ryan Waldschmidt,Arizona Diamondbacks,HITTER,19,63,19,5,1,0,7,10,6,21,5,0,0.775,26,126,6.63
Tim Tawa,Arizona Diamondbacks,HITTER,27,57,10,2,0,1,8,6,8,15,0,0,0.536,15,77,2.85
Tommy Troy,Arizona Diamondbacks,HITTER,4,12,5,2,0,0,0,5,2,1,0,0,1.083,7,34,8.5
Adley Rutschman,Baltimore Orioles,HITTER,38,142,38,12,0,7,26,19,15,24,0,1,0.84,71,311,8.18
Blaze Alexander,Baltimore Orioles,HITTER,47,118,30,5,1,1,14,14,8,34,6,1,0.646,40,187,3.98
Coby Mayo,Baltimore Orioles,HITTER,44,133,26,5,0,5,18,16,13,44,1,1,0.616,46,198,4.5
Colton Cowser,Baltimore Orioles,HITTER,46,100,21,2,0,3,14,14,13,38,1,0,0.618,32,149,3.24
Gunnar Henderson,Baltimore Orioles,HITTER,55,234,52,10,1,13,29,30,15,70,6,2,0.714,103,415,7.55
Jackson Holliday,Baltimore Orioles,HITTER,8,19,4,0,0,1,4,4,3,6,2,0,0.672,7,50,6.25
Jeremiah Jackson,Baltimore Orioles,HITTER,50,165,41,7,0,6,26,15,3,35,1,1,0.663,66,252,5.04
Leody Taveras,Baltimore Orioles,HITTER,46,133,37,8,1,2,21,21,20,33,6,1,0.775,53,285,6.2
Pete Alonso,Baltimore Orioles,HITTER,56,212,49,12,0,10,33,31,26,55,2,1,0.744,91,415,7.41
Samuel Basallo,Baltimore Orioles,HITTER,44,150,40,7,1,8,22,21,13,44,0,0,0.81,73,282,6.41
Taylor Ward,Baltimore Orioles,HITTER,55,200,50,15,0,2,16,33,48,52,1,1,0.749,71,359,6.53
Tyler O'Neill,Baltimore Orioles,HITTER,34,93,15,1,0,2,8,13,12,26,0,2,0.508,22,114,3.35
Weston Wilson,Baltimore Orioles,HITTER,20,38,9,1,0,1,3,6,6,11,2,1,0.698,13,69,3.45
Andruw Monasterio,Boston Red Sox,HITTER,29,85,21,8,0,1,10,9,6,18,1,0,0.673,32,130,4.48
Aroldis Chapman,Boston Red Sox,HITTER,18,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Caleb Durbin,Boston Red Sox,HITTER,48,147,24,8,0,1,16,14,11,25,4,4,0.479,35,195,4.06
Carlos Narváez,Boston Red Sox,HITTER,35,101,22,5,0,2,3,13,10,33,1,2,0.628,33,119,3.4
Ceddanne Rafaela,Boston Red Sox,HITTER,52,179,51,9,2,5,23,23,12,41,4,6,0.791,79,334,6.42
Connor Wong,Boston Red Sox,HITTER,22,58,14,6,0,0,7,5,5,16,1,2,0.668,20,85,3.86
Garrett Whitlock,Boston Red Sox,HITTER,20,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Isiah Kiner-Falefa,Boston Red Sox,HITTER,29,58,16,2,0,1,10,8,6,10,4,0,0.706,21,122,4.21
Jarren Duran,Boston Red Sox,HITTER,49,197,42,9,1,8,27,26,16,58,10,3,0.672,77,370,7.55
Marcelo Mayer,Boston Red Sox,HITTER,49,146,32,6,0,2,12,12,11,31,3,2,0.581,44,180,3.67
Masataka Yoshida,Boston Red Sox,HITTER,38,102,26,6,1,1,7,11,13,10,1,2,0.71,37,163,4.29
Mickey Gasper,Boston Red Sox,HITTER,15,43,14,2,0,0,2,7,2,10,0,1,0.742,16,57,3.8
Nick Sogard,Boston Red Sox,HITTER,9,30,9,2,1,0,2,3,5,5,0,0,0.833,13,50,5.56
Willson Contreras,Boston Red Sox,HITTER,52,187,53,6,2,11,33,25,21,56,1,8,0.887,96,405,7.79
Wilyer Abreu,Boston Red Sox,HITTER,53,207,59,10,1,6,22,24,21,44,4,0,0.779,89,358,6.75
Alex Bregman,Chicago Cubs,HITTER,55,222,58,8,1,4,16,24,25,43,2,3,0.703,80,321,5.84
Caleb Thielbar,Chicago Cubs,HITTER,14,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Carson Kelly,Chicago Cubs,HITTER,42,134,41,6,0,2,17,18,15,27,0,3,0.784,53,230,5.48
Daniel Palencia,Chicago Cubs,HITTER,12,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Dansby Swanson,Chicago Cubs,HITTER,53,179,34,5,1,7,27,32,26,46,4,1,0.638,62,350,6.6
Ian Happ,Chicago Cubs,HITTER,52,195,42,8,1,11,26,36,37,75,2,2,0.782,85,401,7.71
Kevin Alcántara,Chicago Cubs,HITTER,4,2,0,0,0,0,0,0,1,2,0,0,0.333,0,0,0.0
Michael Busch,Chicago Cubs,HITTER,55,198,46,11,1,6,31,23,38,53,1,5,0.755,77,379,6.89
Michael Conforto,Chicago Cubs,HITTER,34,72,20,8,0,4,13,12,13,22,0,0,0.94,40,175,5.15
Miguel Amaya,Chicago Cubs,HITTER,32,77,18,2,0,3,9,14,11,20,0,3,0.729,29,143,4.47
Moisés Ballesteros,Chicago Cubs,HITTER,46,123,29,5,0,6,20,15,15,28,0,0,0.737,52,228,4.96
Nico Hoerner,Chicago Cubs,HITTER,55,219,56,13,0,4,32,24,26,20,10,4,0.711,81,441,8.02
Pedro Ramírez,Chicago Cubs,HITTER,4,7,2,1,0,0,1,1,1,0,0,0,0.804,3,15,3.75
Pete Crow-Armstrong,Chicago Cubs,HITTER,56,201,45,6,2,6,24,29,21,59,12,6,0.677,73,382,6.82
Ryan Rolison,Chicago Cubs,HITTER,14,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Seiya Suzuki,Chicago Cubs,HITTER,42,154,36,4,0,7,17,23,20,46,0,3,0.727,61,260,6.19
Blake Dunn,Cincinnati Reds,HITTER,16,51,17,2,1,1,2,10,4,12,2,1,0.864,24,98,6.13
Dane Myers,Cincinnati Reds,HITTER,46,80,20,3,0,3,12,16,12,25,2,2,0.758,32,170,3.7
Elly De La Cruz,Cincinnati Reds,HITTER,55,222,62,13,1,12,37,38,21,72,9,2,0.855,113,509,9.25
Eugenio Suárez,Cincinnati Reds,HITTER,30,105,25,5,0,3,13,12,13,34,0,0,0.693,39,156,5.2
JJ Bleday,Cincinnati Reds,HITTER,27,98,27,6,1,7,21,16,17,21,1,0,0.95,56,263,9.74
Matt McLain,Cincinnati Reds,HITTER,54,191,38,9,0,5,20,21,24,51,7,2,0.62,62,302,5.59
Nathaniel Lowe,Cincinnati Reds,HITTER,40,117,32,9,0,8,24,15,15,32,0,0,0.912,65,270,6.75
P.J. Higgins,Cincinnati Reds,HITTER,9,17,5,0,0,0,3,1,2,7,0,0,0.644,5,19,2.11
Sal Stewart,Cincinnati Reds,HITTER,55,207,53,9,0,12,36,34,31,48,10,1,0.826,98,505,9.18
Spencer Steer,Cincinnati Reds,HITTER,53,189,50,10,0,7,21,31,18,43,3,3,0.765,81,356,6.72
TJ Friedl,Cincinnati Reds,HITTER,44,150,27,6,0,2,8,14,13,40,5,4,0.522,39,173,3.93
Tyler Stephenson,Cincinnati Reds,HITTER,44,134,26,6,0,4,17,11,21,43,0,0,0.627,44,185,4.2
Will Benson,Cincinnati Reds,HITTER,41,78,14,2,1,2,5,10,15,29,1,1,0.627,24,109,2.66
Angel Martínez,Cleveland Guardians,HITTER,53,179,44,9,1,9,28,24,6,38,8,4,0.742,82,371,7.0
Austin Hedges,Cleveland Guardians,HITTER,27,71,16,4,0,1,4,12,8,15,1,0,0.624,23,106,3.93
Brayan Rocchio,Cleveland Guardians,HITTER,55,178,53,8,1,4,27,25,19,23,9,5,0.8,75,394,7.16
Chase DeLauter,Cleveland Guardians,HITTER,53,192,50,11,1,7,31,21,25,24,2,0,0.78,84,387,7.3
Daniel Schneemann,Cleveland Guardians,HITTER,46,146,35,9,0,4,19,19,18,47,3,0,0.707,56,247,5.37
David Fry,Cleveland Guardians,HITTER,35,76,18,2,0,3,8,11,13,26,0,0,0.73,29,123,3.51
José Ramírez,Cleveland Guardians,HITTER,58,212,48,12,0,8,27,30,38,34,20,1,0.739,84,511,8.81
Kyle Manzardo,Cleveland Guardians,HITTER,49,149,33,4,1,5,17,19,17,57,0,2,0.67,54,213,4.35
Patrick Bailey,Cleveland Guardians,HITTER,39,107,15,1,0,2,8,6,9,28,2,0,0.413,22,91,2.33
Petey Halpin,Cleveland Guardians,HITTER,16,25,3,0,0,0,1,3,1,6,2,0,0.274,3,24,1.5
Rhys Hoskins,Cleveland Guardians,HITTER,45,122,23,9,0,5,20,20,28,45,0,1,0.72,47,246,5.47
Steven Kwan,Cleveland Guardians,HITTER,54,193,40,7,0,1,12,25,34,25,2,2,0.588,50,277,5.13
Travis Bazzana,Cleveland Guardians,HITTER,27,96,29,6,0,3,11,12,15,19,7,2,0.865,44,219,8.11
Braxton Fulford,Colorado Rockies,HITTER,12,17,3,0,0,1,2,5,2,6,2,0,0.616,6,43,3.58
Brett Sullivan,Colorado Rockies,HITTER,28,77,15,6,0,1,9,4,4,18,0,1,0.553,24,87,3.11
Chad Stevens,Colorado Rockies,HITTER,6,12,1,0,0,0,2,0,2,5,0,0,0.283,1,7,1.17
Edouard Julien,Colorado Rockies,HITTER,46,133,27,3,1,2,12,15,17,43,3,1,0.584,38,174,3.78
Ezequiel Tovar,Colorado Rockies,HITTER,55,187,40,11,0,2,16,14,12,52,3,2,0.571,57,210,3.82
Hunter Goodman,Colorado Rockies,HITTER,51,193,46,8,0,12,20,31,13,74,3,4,0.766,90,340,6.67
Jake McCarthy,Colorado Rockies,HITTER,46,130,35,7,3,2,19,14,8,26,9,1,0.727,54,261,5.67
Kyle Freeland,Colorado Rockies,HITTER,10,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Kyle Karros,Colorado Rockies,HITTER,53,155,32,7,0,2,14,19,24,44,2,0,0.599,45,214,4.04
Sterlin Thompson,Colorado Rockies,HITTER,9,24,4,1,0,0,2,1,2,4,0,1,0.467,5,22,2.44
TJ Rumfield,Colorado Rockies,HITTER,55,192,54,9,1,7,27,23,20,33,0,4,0.807,86,362,6.58
Troy Johnston,Colorado Rockies,HITTER,52,169,53,14,0,2,23,21,15,39,2,2,0.808,73,301,5.79
Tyler Freeman,Colorado Rockies,HITTER,36,121,30,3,0,2,14,10,4,17,4,8,0.638,39,184,5.11
Willi Castro,Colorado Rockies,HITTER,46,152,39,8,0,2,18,22,13,50,3,1,0.666,53,231,5.02
Colt Keith,Detroit Tigers,HITTER,52,152,45,8,1,0,7,21,9,35,1,1,0.699,55,194,3.73
Dillon Dingler,Detroit Tigers,HITTER,51,180,42,11,0,10,32,22,19,44,0,4,0.781,83,361,7.08
Gage Workman,Detroit Tigers,HITTER,14,36,6,3,0,2,5,3,0,16,0,0,0.584,15,45,3.21
Hao-Yu  Lee,Detroit Tigers,HITTER,28,72,14,3,1,1,8,4,4,21,0,0,0.543,22,74,2.64
Jahmai Jones,Detroit Tigers,HITTER,37,66,11,2,0,2,7,6,6,24,0,0,0.524,19,71,1.92
Jake Rogers,Detroit Tigers,HITTER,19,48,7,2,1,0,4,4,4,17,1,1,0.447,11,48,2.53
Kevin McGonigle,Detroit Tigers,HITTER,55,203,60,12,3,3,21,35,33,30,8,2,0.828,87,446,8.11
Matt Vierling,Detroit Tigers,HITTER,47,140,30,9,0,4,21,13,14,27,2,0,0.644,51,232,4.94
Riley Greene,Detroit Tigers,HITTER,57,201,62,15,0,4,25,30,30,65,1,2,0.846,89,370,6.49
Spencer Torkelson,Detroit Tigers,HITTER,56,182,38,12,0,8,21,18,26,68,0,3,0.723,74,283,5.05
Wenceel Pérez,Detroit Tigers,HITTER,41,124,21,3,0,4,10,16,10,20,3,0,0.521,36,176,4.29
Zach McKinstry,Detroit Tigers,HITTER,35,102,17,3,0,1,9,2,9,20,1,0,0.455,23,87,2.49
Zack Short,Detroit Tigers,HITTER,13,22,3,1,0,0,0,1,5,6,0,1,0.503,4,18,1.38
Braden Shewmake,Houston Astros,HITTER,25,66,18,3,0,3,8,7,1,11,0,0,0.734,30,105,4.2
Brice Matthews,Houston Astros,HITTER,47,138,29,4,1,4,14,14,11,47,2,0,0.608,47,177,3.77
Cam Smith,Houston Astros,HITTER,56,182,38,7,0,5,18,24,21,58,7,4,0.631,60,290,5.18
César Salazar,Houston Astros,HITTER,7,16,1,0,0,0,1,0,2,3,0,1,0.274,1,8,1.14
Christian Vázquez,Houston Astros,HITTER,35,105,27,4,0,4,17,10,9,19,0,0,0.726,43,178,5.09
Christian Walker,Houston Astros,HITTER,57,208,53,10,0,15,40,33,21,45,0,3,0.849,108,478,8.39
Isaac Paredes,Houston Astros,HITTER,51,184,44,8,0,5,20,19,18,33,0,7,0.694,67,286,5.61
Jake Meyers,Houston Astros,HITTER,20,61,12,2,0,2,5,7,5,15,1,1,0.593,20,84,4.2
Jeremy Peña,Houston Astros,HITTER,19,78,19,4,0,1,5,11,4,13,2,3,0.635,26,117,6.16
Nick Allen,Houston Astros,HITTER,28,43,13,1,0,1,4,10,3,9,1,1,0.757,17,83,2.96
Taylor Trammell,Houston Astros,HITTER,12,35,13,2,1,0,4,5,4,11,1,0,0.922,17,67,5.58
Yordan Alvarez,Houston Astros,HITTER,56,202,63,11,0,20,39,36,36,41,1,4,1.085,134,588,10.5
Zach Dezenzo,Houston Astros,HITTER,17,41,9,4,0,1,2,5,4,16,0,0,0.679,16,51,3.0
Bobby Witt Jr.,Kansas City Royals,HITTER,56,221,64,14,1,9,25,27,23,44,16,0,0.838,107,486,8.68
Carter Jensen,Kansas City Royals,HITTER,52,162,36,8,0,6,23,20,20,54,0,1,0.689,62,261,5.02
Isaac Collins,Kansas City Royals,HITTER,49,151,32,6,0,3,16,18,23,48,3,4,0.639,47,229,4.67
Jac Caglianone,Kansas City Royals,HITTER,51,166,39,9,1,5,11,18,14,55,1,2,0.694,65,220,4.31
Kyle Isbel,Kansas City Royals,HITTER,46,136,34,6,1,3,11,15,8,36,5,3,0.679,51,205,4.46
Lane Thomas,Kansas City Royals,HITTER,42,93,20,3,0,1,9,8,21,25,3,1,0.639,26,142,3.38
Lucas Erceg,Kansas City Royals,HITTER,22,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Maikel Garcia,Kansas City Royals,HITTER,54,217,57,15,1,3,20,27,19,34,4,0,0.701,83,354,6.56
Michael Massey,Kansas City Royals,HITTER,41,106,24,9,0,3,13,11,4,22,1,0,0.644,42,162,3.95
Nick Loftin,Kansas City Royals,HITTER,24,59,13,7,0,0,13,9,8,9,0,3,0.672,20,126,5.25
Salvador Perez,Kansas City Royals,HITTER,54,206,44,5,0,9,25,21,10,45,0,4,0.629,76,296,5.48
Starling Marte,Kansas City Royals,HITTER,23,53,15,3,0,0,2,3,4,16,0,1,0.679,18,48,2.09
Tyler Tolbert,Kansas City Royals,HITTER,11,6,1,0,0,0,0,2,0,1,3,0,0.334,1,22,2.0
Vinnie Pasquantino,Kansas City Royals,HITTER,53,196,39,6,2,5,23,21,24,42,2,1,0.611,64,298,5.62
Alex Call,Los Angeles Dodgers,HITTER,25,51,15,4,0,0,10,11,10,8,0,1,0.786,19,119,4.76
Alex Freeland,Los Angeles Dodgers,HITTER,34,101,23,4,0,2,8,11,11,32,0,0,0.628,33,121,3.56
Andy Pages,Los Angeles Dodgers,HITTER,56,208,63,12,0,13,50,34,15,44,7,2,0.899,114,543,9.7
Dalton Rushing,Los Angeles Dodgers,HITTER,29,82,21,2,0,7,17,14,8,25,0,3,0.881,44,194,6.69
Freddie Freeman,Los Angeles Dodgers,HITTER,53,199,54,15,1,7,26,27,30,38,2,1,0.83,92,408,7.7
Hyeseong Kim,Los Angeles Dodgers,HITTER,43,116,30,3,1,1,11,16,12,31,5,0,0.651,38,182,4.23
Kyle Tucker,Los Angeles Dodgers,HITTER,53,196,48,14,2,4,26,36,30,43,4,1,0.743,78,407,7.68
Max Muncy,Los Angeles Dodgers,HITTER,50,167,42,6,0,12,19,36,26,50,0,1,0.859,84,367,7.34
Miguel Rojas,Los Angeles Dodgers,HITTER,34,83,22,4,0,1,9,8,5,10,0,2,0.664,29,119,3.5
Mookie Betts,Los Angeles Dodgers,HITTER,22,88,16,2,0,6,15,13,6,12,0,1,0.649,36,172,7.82
Shohei Ohtani,Los Angeles Dodgers,HITTER,55,193,52,12,1,9,30,36,39,53,6,5,0.882,93,481,8.75
Teoscar Hernández,Los Angeles Dodgers,HITTER,51,181,50,8,0,7,31,30,19,55,2,2,0.784,79,360,7.06
Will Smith,Los Angeles Dodgers,HITTER,46,154,39,4,0,5,22,20,19,28,0,2,0.714,58,270,5.87
Andrés Chaparro,Washington Nationals,HITTER,10,20,3,1,0,0,3,3,5,5,0,0,0.52,4,32,3.2
Brad Lord,Washington Nationals,HITTER,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
CJ Abrams,Washington Nationals,HITTER,56,204,60,12,2,12,47,34,25,47,8,8,0.937,112,566,10.11
Clayton Beeter,Washington Nationals,HITTER,13,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Curtis Mead,Washington Nationals,HITTER,42,123,29,8,0,7,20,23,20,24,3,2,0.824,58,302,7.19
Daylen Lile,Washington Nationals,HITTER,56,224,58,15,1,7,27,35,19,46,4,1,0.744,96,423,7.55
Drew Millas,Washington Nationals,HITTER,35,88,15,3,0,1,7,11,8,23,0,1,0.486,21,96,2.74
Dylan Crews,Washington Nationals,HITTER,8,33,8,1,0,1,1,2,1,7,1,0,0.629,12,36,4.5
Gus Varland,Washington Nationals,HITTER,22,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Jacob Young,Washington Nationals,HITTER,55,180,42,6,0,7,24,25,9,32,3,4,0.668,69,314,5.71
James Wood,Washington Nationals,HITTER,57,217,60,15,0,15,37,50,47,78,10,4,0.967,120,620,10.88
Jorbit Vivas,Washington Nationals,HITTER,42,100,24,6,0,1,5,15,10,17,0,4,0.658,33,145,3.45
José Tena,Washington Nationals,HITTER,42,104,23,7,1,3,13,16,7,36,0,1,0.671,41,164,3.9
Keibert Ruiz,Washington Nationals,HITTER,34,107,28,12,0,4,24,13,2,17,1,1,0.763,52,229,6.74
Luis García Jr.,Washington Nationals,HITTER,51,167,44,10,2,4,27,20,6,28,2,0,0.706,70,297,5.82
Nasim Nuñez,Washington Nationals,HITTER,53,164,31,2,1,0,16,21,22,41,22,1,0.5,35,300,5.66
Orlando Ribalta,Washington Nationals,HITTER,13,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Paxton Schultz,Washington Nationals,HITTER,15,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
A.J. Ewing,New York Mets,HITTER,16,52,13,0,1,1,4,6,8,20,3,0,0.696,18,81,5.06
Bo Bichette,New York Mets,HITTER,56,227,51,6,0,5,27,25,16,42,1,0,0.59,72,311,5.55
Brett Baty,New York Mets,HITTER,53,165,38,8,1,3,21,21,18,51,2,1,0.651,57,253,4.77
Carson Benge,New York Mets,HITTER,53,186,46,7,0,3,20,25,14,41,9,3,0.643,62,310,5.85
Devin Williams,New York Mets,HITTER,21,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Eric Wagaman,New York Mets,HITTER,2,4,1,0,0,1,1,1,0,1,0,0,1.25,4,15,7.5
Hayden Senger,New York Mets,HITTER,5,10,1,0,0,0,1,1,0,3,0,0,0.2,1,5,1.0
Jared Young,New York Mets,HITTER,13,23,8,2,0,0,2,3,3,4,0,0,0.842,10,39,3.0
Juan Soto,New York Mets,HITTER,39,143,43,4,1,12,24,24,22,25,5,0,0.986,85,388,9.95
Luis Torrens,New York Mets,HITTER,33,87,18,7,0,0,11,8,5,20,0,2,0.553,25,108,3.27
Luke Weaver,New York Mets,HITTER,22,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
MJ Melendez,New York Mets,HITTER,34,74,15,3,1,2,6,8,9,31,0,4,0.673,26,98,2.88
Marcus Semien,New York Mets,HITTER,56,202,43,7,0,4,19,19,14,44,5,1,0.571,62,264,4.71
Mark Vientos,New York Mets,HITTER,48,170,38,8,0,6,23,16,7,38,0,2,0.637,64,245,5.1
Vidal Bruján,New York Mets,HITTER,4,4,1,0,0,0,1,3,1,0,0,0,0.65,1,16,4.0
